question_id,workstream_code,workstream,capability,stage,question,answer_type,options,weight,criticality,hard_gate_candidate,expert_validation_candidate,evidence_expected,methodology_status,source_type
RQ-097,OPS,Commercial Operations & CRM,Operating model,L-24_to_L+12,Is operating model defined before CRM configuration?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,false,Operating model supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-098,OPS,Commercial Operations & CRM,CRM platform,L-24_to_L+12,Has CRM approach been selected based on needs/scale?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,CRM platform supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-099,OPS,Commercial Operations & CRM,Account hierarchy,L-24_to_L+12,Are HCP/HCO/affiliation requirements defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Account hierarchy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-100,OPS,Commercial Operations & CRM,Call model,L-24_to_L+12,Are call objectives/outcomes/barriers/follow-up structured?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Call model supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-101,OPS,Commercial Operations & CRM,Territory integration,L-24_to_L+12,Is territory assignment linked to CRM cleanly?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Territory integration supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-102,OPS,Commercial Operations & CRM,Access capture,L-24_to_L+12,Can field teams capture access barriers structurally?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Access capture supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-103,OPS,Commercial Operations & CRM,Medical handoff,L-24_to_L+12,Is Medical/MSL escalation defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Medical handoff supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-104,OPS,Commercial Operations & CRM,Reporting requirements,L-24_to_L+12,Are role-based reporting requirements defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Reporting requirements supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-105,OPS,Commercial Operations & CRM,Master data,L-24_to_L+12,Is HCP/HCO master-data source/stewardship selected?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Master data supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-106,OPS,Commercial Operations & CRM,Integration map,L-24_to_L+12,Is integration architecture defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Integration map supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-107,OPS,Commercial Operations & CRM,Change control,L-24_to_L+12,Is CRM change control defined for launch?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Change control supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-108,OPS,Commercial Operations & CRM,Adoption plan,L-24_to_L+12,Is CRM adoption/data quality measurement planned?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Adoption plan supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-109,DAT,"Data, Analytics & Intelligence",Data strategy,L-24_to_L+12,Is launch data strategy tied to decisions?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,false,Data strategy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-110,DAT,"Data, Analytics & Intelligence",Data prescription,L-24_to_L+12,Is minimum required data identified for archetype?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Data prescription supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-111,DAT,"Data, Analytics & Intelligence",HCP/HCO data,L-24_to_L+12,Is HCP/HCO source selected with rights known?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,HCP/HCO data supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-112,DAT,"Data, Analytics & Intelligence",Claims/Rx,L-24_to_L+12,Are claims/Rx needs tied to decisions?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Claims/Rx supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-113,DAT,"Data, Analytics & Intelligence",Payer data,L-24_to_L+12,Is payer/formulary source selected if needed?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Payer data supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-114,DAT,"Data, Analytics & Intelligence",Data rights,L-24_to_L+12,Are third-party use/derivative/retention rights documented?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,false,Data rights supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-115,DAT,"Data, Analytics & Intelligence",Data lineage,L-24_to_L+12,Can important metrics be traced to source/as-of/transformation?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Data lineage supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-116,DAT,"Data, Analytics & Intelligence",Refresh cadence,L-24_to_L+12,Are staleness thresholds defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Refresh cadence supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-117,DAT,"Data, Analytics & Intelligence",Decision analytics,L-24_to_L+12,Are analytics decision-centric?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Decision analytics supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-118,DAT,"Data, Analytics & Intelligence",Benchmark governance,L-24_to_L+12,Are benchmarks labeled with source/sample/limits?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Benchmark governance supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-119,DAT,"Data, Analytics & Intelligence",AI governance,L-24_to_L+12,Are approved AI use cases/evals defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,AI governance supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-120,DAT,"Data, Analytics & Intelligence",Insight cadence,L-24_to_L+12,Is there a repeatable data→decision process?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Insight cadence supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-121,MKG,"Brand, Marketing & Omnichannel",Brand strategy,L-24_to_L+12,Is brand strategy aligned to required customer behavior change?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Brand strategy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-122,MKG,"Brand, Marketing & Omnichannel",Segmentation alignment,L-24_to_L+12,Are marketing/field/access segmentations aligned?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Segmentation alignment supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-123,MKG,"Brand, Marketing & Omnichannel",Message architecture,L-24_to_L+12,Is core message architecture tested/governance-ready?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Message architecture supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-124,MKG,"Brand, Marketing & Omnichannel",Channel strategy,L-24_to_L+12,Is channel mix based on customer behavior?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Channel strategy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-125,MKG,"Brand, Marketing & Omnichannel",Omnichannel journey,L-24_to_L+12,Is HCP journey orchestrated across field/nonpersonal channels?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Omnichannel journey supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-126,MKG,"Brand, Marketing & Omnichannel",Content plan,L-24_to_L+12,Is content sequenced to audience/channel/approval timing?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Content plan supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-127,MKG,"Brand, Marketing & Omnichannel",MLR dependency,L-24_to_L+12,Are MLR/content dependencies on critical path?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,false,false,MLR dependency supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-128,MKG,"Brand, Marketing & Omnichannel",Agency governance,L-24_to_L+12,Are agency scopes/handoffs clear?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Agency governance supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-129,MKG,"Brand, Marketing & Omnichannel",Digital readiness,L-24_to_L+12,Are required digital capabilities launch-ready?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Digital readiness supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-130,MKG,"Brand, Marketing & Omnichannel",Field-content integration,L-24_to_L+12,Can field easily access current approved content?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Field-content integration supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-131,MKG,"Brand, Marketing & Omnichannel",Measurement,L-24_to_L+12,Are marketing metrics tied to progression/adoption?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Measurement supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-132,MKG,"Brand, Marketing & Omnichannel",Optimization triggers,L-24_to_L+12,Are channel/message change triggers defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Optimization triggers supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-133,DST,"Distribution, Supply & Channel Readiness",Distribution model,L-24_to_L+12,Is U.S. distribution model defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Distribution model supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-134,DST,"Distribution, Supply & Channel Readiness",3PL,L-24_to_L+12,Is 3PL strategy/vendor ready if required?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,3PL supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-135,DST,"Distribution, Supply & Channel Readiness",Wholesalers,L-24_to_L+12,Are wholesaler/specialty distributor relationships defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Wholesalers supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-136,DST,"Distribution, Supply & Channel Readiness",Specialty pharmacy,L-24_to_L+12,"If needed, are SP requirements/reporting defined?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Specialty pharmacy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-137,DST,"Distribution, Supply & Channel Readiness",Inventory policy,L-24_to_L+12,Are launch inventory/safety-stock assumptions defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Inventory policy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-138,DST,"Distribution, Supply & Channel Readiness",Order-to-cash,L-24_to_L+12,Is order-to-cash mapped end-to-end?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Order-to-cash supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-139,DST,"Distribution, Supply & Channel Readiness",Returns/chargebacks,L-24_to_L+12,Are returns/chargebacks/channel finance processes ready?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Returns/chargebacks supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-140,DST,"Distribution, Supply & Channel Readiness",DSCSA/licensing,L-24_to_L+12,Are applicable distribution compliance dependencies tracked?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,DSCSA/licensing supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-141,DST,"Distribution, Supply & Channel Readiness",Data feeds,L-24_to_L+12,Are distributor/SP data feeds and latency defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Data feeds supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-142,DST,"Distribution, Supply & Channel Readiness",Fulfillment SLA,L-24_to_L+12,Are order/fill/shipment/exception SLAs defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Fulfillment SLA supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-143,DST,"Distribution, Supply & Channel Readiness",Supply risk,L-24_to_L+12,Are supply failure modes and contingency plans documented?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,false,Supply risk supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-144,DST,"Distribution, Supply & Channel Readiness",Readiness test,L-24_to_L+12,Has end-to-end distribution rehearsal been planned/completed?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Readiness test supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-145,HUB,Patient Services / HUB / Access Operations,Patient service need,L-24_to_L+12,Has need for HUB/patient services been analyzed?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Patient service need supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-146,HUB,Patient Services / HUB / Access Operations,Service scope,L-24_to_L+12,Are BV/PA/affordability/education/adherence scopes defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Service scope supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-147,HUB,Patient Services / HUB / Access Operations,Vendor selection,L-24_to_L+12,"If outsourced, is HUB/vendor selected with SLAs?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Vendor selection supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-148,HUB,Patient Services / HUB / Access Operations,Enrollment workflow,L-24_to_L+12,Is enrollment flow clear across provider/HUB/payer/dispensing?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Enrollment workflow supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-149,HUB,Patient Services / HUB / Access Operations,Time-to-therapy,L-24_to_L+12,Are time-to-therapy stages measurable?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Time-to-therapy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-150,HUB,Patient Services / HUB / Access Operations,Abandonment,L-24_to_L+12,Are abandonment reasons structured?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Abandonment supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-151,HUB,Patient Services / HUB / Access Operations,Escalation,L-24_to_L+12,Are unresolved cases escalated with SLA/owner?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Escalation supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-152,HUB,Patient Services / HUB / Access Operations,Field handoff,L-24_to_L+12,Are rep/FRM/HUB handoffs defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Field handoff supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-153,HUB,Patient Services / HUB / Access Operations,Affordability operations,L-24_to_L+12,Are assistance workflows ready?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Affordability operations supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-154,HUB,Patient Services / HUB / Access Operations,Persistence support,L-24_to_L+12,"If material, is persistence support designed?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Persistence support supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-155,HUB,Patient Services / HUB / Access Operations,Data governance,L-24_to_L+12,Are patient-service privacy/data boundaries defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Data governance supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-156,HUB,Patient Services / HUB / Access Operations,Performance dashboard,L-24_to_L+12,Are conversion/SLA/time-to-therapy KPIs defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Performance dashboard supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-157,VEN,"Vendor, CSO & Partner Governance",Vendor map,L-24_to_L+12,Is the required external capability/vendor map complete?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Vendor map supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-158,VEN,"Vendor, CSO & Partner Governance",Build/Buy/Rent,L-24_to_L+12,Has each major capability been deliberately classified?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Build/Buy/Rent supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-159,VEN,"Vendor, CSO & Partner Governance",RFP criteria,L-24_to_L+12,Are weighted selection criteria defined before proposal review?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,RFP criteria supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-160,VEN,"Vendor, CSO & Partner Governance",Vendor neutrality,L-24_to_L+12,Are recommendations independent of vendor compensation?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Vendor neutrality supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-161,VEN,"Vendor, CSO & Partner Governance",References,L-24_to_L+12,Are customer references validated for material vendors?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,References supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-162,VEN,"Vendor, CSO & Partner Governance",SLA,L-24_to_L+12,Are SLAs measurable and linked to escalation/remedies?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,SLA supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-163,VEN,"Vendor, CSO & Partner Governance",Data rights,L-24_to_L+12,Are vendor data rights/portability documented?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,false,true,Data rights supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-164,VEN,"Vendor, CSO & Partner Governance",Exit rights,L-24_to_L+12,Are termination/transition/export rights adequate?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Exit rights supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-165,VEN,"Vendor, CSO & Partner Governance",CSO governance,L-24_to_L+12,"If CSO, are recruiting/vacancy/reporting/conversion rights governed?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,CSO governance supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-166,VEN,"Vendor, CSO & Partner Governance",Vendor scorecard,L-24_to_L+12,Is performance reviewed through standard scorecard?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Vendor scorecard supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-167,VEN,"Vendor, CSO & Partner Governance",Dependency tracking,L-24_to_L+12,Are vendor deliverables launch dependencies?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Dependency tracking supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-168,VEN,"Vendor, CSO & Partner Governance",Contingency,L-24_to_L+12,Are alternatives identified for critical vendors?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Contingency supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-169,GOV,"Launch Governance, PMO & Command Center",Governance model,L-24_to_L+12,Is launch governance documented with forums/cadence/rights?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,false,Governance model supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-170,GOV,"Launch Governance, PMO & Command Center",Critical path,L-24_to_L+12,Is there one integrated launch critical path?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,false,Critical path supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-171,GOV,"Launch Governance, PMO & Command Center",Dependency owners,L-24_to_L+12,Does every critical dependency have an owner?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Dependency owners supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-172,GOV,"Launch Governance, PMO & Command Center",Decision ledger,L-24_to_L+12,Are material decisions documented with assumptions/evidence?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,false,Decision ledger supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-173,GOV,"Launch Governance, PMO & Command Center",Risk register,L-24_to_L+12,Is risk register active with triggers/mitigations?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Risk register supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-174,GOV,"Launch Governance, PMO & Command Center",Executive attention,L-24_to_L+12,Can leaders identify top issues without dozens of dashboards?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Executive attention supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-175,GOV,"Launch Governance, PMO & Command Center",Change impact,L-24_to_L+12,Are downstream effects of changes assessed systematically?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Change impact supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-176,GOV,"Launch Governance, PMO & Command Center",Escalation aging,L-24_to_L+12,Are old unresolved issues escalated?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Escalation aging supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-177,GOV,"Launch Governance, PMO & Command Center",Evidence quality,L-24_to_L+12,Are decisions labeled by evidence quality/confidence?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Evidence quality supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-178,GOV,"Launch Governance, PMO & Command Center",Postmortem plan,L-24_to_L+12,Is assumptions-vs-actual learning planned?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Postmortem plan supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-179,GOV,"Launch Governance, PMO & Command Center",Launch room,L-24_to_L+12,"Is command process decision-focused, not reporting-focused?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Launch room supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-180,GOV,"Launch Governance, PMO & Command Center",Board reporting,L-24_to_L+12,Do board and operating teams share a source of truth?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Board reporting supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-181,CMPY,"Compliance, Promotional Readiness & Governance",Compliance model,L-24_to_L+12,Are commercial/medical/regulatory/legal responsibilities separated?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Compliance model supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-182,CMPY,"Compliance, Promotional Readiness & Governance",MLR process,L-24_to_L+12,Is promotional review staffed and timed to launch?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,MLR process supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-183,CMPY,"Compliance, Promotional Readiness & Governance",Approved content source,L-24_to_L+12,Is there one authoritative approved-content source?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Approved content source supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-184,CMPY,"Compliance, Promotional Readiness & Governance",Commercial-medical handoff,L-24_to_L+12,Are off-label/medical questions routed appropriately?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Commercial-medical handoff supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-185,CMPY,"Compliance, Promotional Readiness & Governance",PV escalation,L-24_to_L+12,Are adverse-event escalation responsibilities defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,PV escalation supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-186,CMPY,"Compliance, Promotional Readiness & Governance",Product complaint,L-24_to_L+12,Are product-quality escalation rules defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Product complaint supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-187,CMPY,"Compliance, Promotional Readiness & Governance",Field compliance training,L-24_to_L+12,Are field teams certified before deployment?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Field compliance training supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-188,CMPY,"Compliance, Promotional Readiness & Governance",AI use policy,L-24_to_L+12,Is AI use in commercial workflows governed?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,AI use policy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-189,CMPY,"Compliance, Promotional Readiness & Governance",Data privacy,L-24_to_L+12,Are privacy/security boundaries defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Data privacy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-190,CMPY,"Compliance, Promotional Readiness & Governance",Audit trail,L-24_to_L+12,Can methodology/rule/AI/expert/decision changes be reconstructed?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Audit trail supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-191,CMPY,"Compliance, Promotional Readiness & Governance",Vendor compliance,L-24_to_L+12,Are material vendors reviewed for relevant compliance/security?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Vendor compliance supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-192,CMPY,"Compliance, Promotional Readiness & Governance",Launch compliance gate,L-24_to_L+12,Is there a cross-functional compliance readiness gate?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Launch compliance gate supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
